Date,Open,Close,Volume,Pct Change
2006-01-04,11.108609199523926,11.142142295837402,610844544,2.299935012819687
2006-01-05,11.161161422729492,11.292291641235352,431899668,1.3475805766189453
2006-01-06,11.433182716369629,11.653153419494629,709565724,3.1956469928702713
2006-01-09,11.671921730041504,11.684184074401855,511164324,0.26628547475668896
2006-01-10,11.622121810913086,11.755756378173828,363520116,0.61255713977304
2006-01-11,11.793543815612793,11.802553176879883,359935704,0.398075608243631
2006-01-12,11.854854583740234,11.602352142333984,404606988,-1.696251917238334
2006-01-13,11.619368553161621,11.66791820526123,305957736,0.5651100925303965
2006-01-17,11.588088035583496,11.689438819885254,330481188,0.1844426250290354
2006-01-18,11.193694114685059,11.13388442993164,818608572,-4.752618141159548
2006-01-19,11.29054069519043,10.922171592712402,580910508,-1.9015181857832353
2006-01-20,10.97847843170166,9.996496200561523,1643023332,-8.475195470912734
2006-01-23,10.194695472717285,10.698198318481445,908746344,7.01948066444027
2006-01-24,10.911662101745605,11.086836814880371,617965416,3.6327471676005585
2006-01-25,11.292793273925781,10.835836410522461,748842408,-2.2639496598437003
2006-01-26,10.999499320983887,10.8676176071167,516526956,0.2932971243768234
2006-01-27,10.885886192321777,10.848097801208496,337749912,-0.17961439768934273
2006-01-30,10.741491317749023,10.681180953979492,343212444,-1.5386738789394894
2006-01-31,10.775025367736816,10.827326774597168,881757360,1.3682552636019807
2006-02-01,9.735485076904297,10.05455493927002,1083815100,-7.137235731540015
2006-02-02,10.105606079101562,9.910910606384277,471835692,-1.4286493410534895
2006-02-03,9.850350379943848,9.548297882080078,730540728,-3.6587225806538504
2006-02-06,9.6423921585083,9.637137413024902,357258384,0.9304226998568588
2006-02-07,9.584334373474121,9.207206726074219,664542792,-4.461186642099946
2006-02-08,9.221220970153809,9.236235618591309,831331836,0.3152844655359033
2006-02-09,9.289289474487305,8.978227615356445,476019504,-2.7934324533203547
2006-02-10,9.057807922363281,9.074323654174805,608331060,1.0703230407524522
2006-02-13,8.674674987792969,8.651150703430176,787923288,-4.663410374942279
2006-02-14,8.641892433166504,8.591591835021973,585573840,-0.6884502472554122
2006-02-15,8.540289878845215,8.56806755065918,517362120,-0.27380588853046506
2006-02-16,8.650400161743164,9.170671463012695,851767380,7.03313680465969
2006-02-17,9.255756378173828,9.227977752685547,572235192,0.6248865189858899
2006-02-21,9.170169830322266,9.173924446105957,347092560,-0.5857546260756741
2006-02-22,9.18793773651123,9.146395683288574,258788952,-0.30007618853965523
